SampleID,G7,G8,G11,G12,G13,G19,G27,G32,G33,G35,G41,G43,G44,G49,G50,G51,G53,G54,G64,G66,G67,G70,G73,G76,G77,G80,G84,G85,G88,G89,G90
M1,20,0,36,0,9944,16,0,0,0,12,9,81,24,169,0,13,0,23,48,0,5,26,30,462,0,1164,9,37,5,2,50
M2,0,0,238,1,7127,7,0,0,1,27,2,95,27,144,0,17,79,54,70,0,15,37,6,663,0,1586,50,373,35,1,345
M3,0,4,1308,0,4620,1,0,0,0,10,2,179,263,151,1,10,42,155,14,1,105,136,21,250,0,1176,330,766,17,16,1765
M4,0,2,1128,0,6218,8,0,0,1,3,0,251,167,68,10,5,15,79,9,7,190,63,10,390,0,1004,112,899,9,6,916
M5,50,0,325,0,8984,3,0,0,3,0,0,788,599,22,0,1,0,91,0,0,224,56,17,222,0,681,9,594,17,24,86
M6,174,2,1541,19,5139,8,0,0,0,0,0,187,114,153,20,17,30,79,14,0,79,59,20,363,0,1432,97,912,19,6,637
M7,384,1,759,0,6475,5,0,0,2,4,1,351,212,132,2,16,34,132,11,1,68,111,11,505,0,2082,174,818,44,27,315
M8,190,1,503,9,6817,12,0,0,2,9,0,65,86,158,16,19,79,55,39,0,34,36,25,498,1,1401,104,596,13,1,635
M9,49,0,64,0,6686,7,0,0,0,9,1,31,29,193,3,47,233,10,44,0,2,14,14,1038,1,1559,19,48,0,2,72
M10,35,4,1045,7,6016,2,0,0,1,2,2,314,266,120,27,5,68,104,3,0,107,106,6,366,0,1226,215,1172,50,29,913
M11,0,0,556,0,7858,5,0,0,2,0,9,666,285,131,0,6,58,224,7,0,28,192,27,419,0,1462,5,399,39,21,315
M12,99,1,484,0,9623,2,0,0,0,1,4,238,230,30,0,4,0,72,5,1,157,73,38,255,1,457,17,1149,382,13,157
M13,0,0,211,0,10713,10,0,0,0,1,0,459,565,6,0,0,0,57,7,0,207,58,7,220,0,849,1,233,6,17,71
M14,0,1,1737,0,6062,13,0,0,0,6,0,378,309,44,0,12,0,84,24,0,176,78,23,329,0,1820,14,368,15,11,1062
M15,67,0,366,0,10189,4,0,0,0,1,0,395,46,32,0,5,0,61,0,0,47,50,31,482,0,884,21,173,6,2,97
M16,26,0,1455,11,5860,12,0,0,1,0,0,289,273,46,0,1,0,71,5,0,252,81,12,446,0,1458,9,515,5,14,685
M17,29,0,187,0,10247,17,0,1,0,2,0,173,152,37,0,8,0,55,4,0,22,40,19,433,0,937,2,755,4,7,330
M64,0,1,595,0,6469,2,0,2,0,5,0,261,340,112,114,9,10,79,22,5,55,21,40,680,0,608,76,1351,2,33,364
M19,5,0,438,0,8657,12,0,9,19,0,0,273,107,75,158,10,5,23,11,8,4,21,61,661,0,221,133,150,0,7,292
M20,15,0,3964,0,177,0,0,28,7025,15,0,99,49,7,36,1,5,28,101,115,77,15,20,71,0,126,24,0,0,3,67
M21,0,0,5,0,8626,16,0,0,0,0,0,512,1766,3,0,0,0,35,1,0,87,24,14,310,0,440,1,423,0,43,181
M22,124,0,217,0,7977,5,0,11,0,1,0,54,216,175,13,17,14,34,14,10,3,34,15,561,0,895,53,563,0,4,116
M23,160,0,67,0,9596,8,0,0,0,4,0,87,241,86,6,9,7,19,10,10,1,6,115,801,0,503,34,946,0,25,200
M24,51,1,314,0,8789,3,0,0,0,1,0,31,243,176,31,23,3,40,0,4,2,37,24,929,0,598,63,307,0,30,162
M25,291,0,125,0,8277,11,0,0,0,1,0,326,49,98,2,22,18,141,35,0,8,120,16,955,0,1006,8,405,78,10,87
M26,0,0,445,0,7769,6,0,0,1,7,0,378,146,81,93,7,8,57,4,1,16,51,39,1036,0,309,80,1553,77,13,427
M27,0,1,281,0,8494,5,0,0,1,7,0,312,105,70,59,5,14,45,13,0,10,22,30,958,0,517,68,789,2,3,587
M28,271,1,546,0,5715,10,0,3,1,0,0,441,471,151,26,24,6,101,2,0,17,76,20,1087,0,620,175,449,48,30,372
M29,12,0,98,0,11938,6,0,0,2,7,0,152,175,44,2,2,0,21,37,0,44,25,30,651,0,282,6,100,3,10,81
M30,0,0,170,0,10289,11,0,4,1,5,2,116,89,48,0,10,1,98,19,0,19,53,38,693,0,905,3,114,1,4,208
M31,86,0,1032,0,6151,13,0,19,1,4,0,230,133,43,23,10,16,65,21,0,146,38,22,1035,0,669,324,1111,71,11,511
M32,0,0,80,0,9372,12,0,0,0,0,1,469,444,78,0,7,0,41,9,0,24,43,61,1235,0,480,0,139,9,19,98
M33,65,1,84,0,10163,24,0,0,1,12,0,530,472,44,0,8,0,54,17,0,54,48,41,531,0,349,1,554,2,24,191
M34,6,0,763,0,5246,7,0,0,0,1,0,458,600,65,156,14,8,94,2,25,27,58,14,455,0,474,189,1724,0,68,881
M35,4,0,1007,0,6106,3,1,0,2,3,0,644,129,58,301,8,7,39,13,35,20,29,20,333,0,304,331,1442,30,22,978
M36,165,0,5143,0,3416,6,0,69,1,1,0,215,130,146,45,14,12,88,9,62,41,50,69,235,0,543,155,140,26,19,144
M37,6,12,64,0,7911,2,0,0,9,5,0,2068,1374,10,0,0,0,33,6,0,163,34,20,240,1,68,0,717,21,62,292
M38,0,0,661,0,7950,8,0,1,1,30,0,459,346,50,0,6,9,56,93,2,31,40,61,356,0,581,0,1395,40,11,119
M39,205,0,827,0,6449,10,0,0,0,0,0,180,334,107,122,27,6,60,0,90,31,55,26,602,0,508,145,1605,205,47,307
M40,163,2,856,7,6636,3,0,0,2,16,0,182,195,136,28,12,17,96,36,1,26,93,45,834,0,663,70,1264,96,7,346
M41,141,0,411,0,8795,6,0,1,0,1,8,136,175,121,67,11,0,78,3,0,28,58,31,1016,0,901,158,205,22,13,218
M42,23,2,407,0,8728,1,0,0,0,4,1,227,221,46,26,7,3,48,10,0,12,43,54,895,0,125,23,1805,258,26,280
M43,0,62,14,0,11415,11,0,0,0,0,1,351,413,10,0,0,0,1,11,0,19,4,21,303,0,11,0,1013,0,30,154
M44,216,1,814,0,6926,7,0,0,0,0,8,292,533,51,35,9,7,98,2,0,23,85,36,529,0,564,70,1674,132,18,342
M45,146,0,946,0,8018,12,0,0,2,4,23,194,323,145,150,22,1,74,63,0,67,50,29,1064,0,701,180,257,19,35,411
M46,0,0,563,0,8635,2,0,0,0,3,10,155,525,35,0,9,0,19,15,0,32,25,60,423,0,839,9,97,2,24,244
M47,198,3,672,0,7762,3,0,0,0,0,9,399,540,61,34,12,13,99,5,0,25,73,31,719,2,492,74,1460,251,13,333
M48,8,12,176,2,8856,9,0,0,0,0,15,863,1107,47,0,2,0,46,9,0,104,49,70,760,0,395,4,273,36,47,359
M63,1,26,157,0,10470,3,0,0,0,3,0,207,477,4,0,0,0,1,4,0,93,1,79,297,0,538,115,436,168,38,112
M49,0,1,864,0,3666,11,0,44,0,4,0,50,55,227,238,18,28,61,30,12,6,39,18,294,0,872,319,519,0,9,1047
M65,0,0,194,0,6441,6,5,21,80,0,15,25,95,219,7,7,12,29,8,2,5,18,29,196,898,834,39,15,3,15,67
M50,197,0,2054,0,4807,3,0,28,0,1,0,259,244,152,0,21,0,176,2,0,35,142,27,404,0,1534,111,1466,29,16,238
M67,1,20,853,0,6773,3,4,2,0,0,18,160,396,59,0,9,0,95,18,0,59,79,21,483,9,1689,51,265,11,27,150
M51,159,4,1088,0,3686,6,0,36,3,12,0,214,104,107,50,26,135,21,15,24,15,16,27,423,0,1007,392,52,2,20,462
M69,88,0,382,1,6384,2,0,0,0,0,0,68,26,132,6,33,1,10,0,0,30,11,41,1244,0,867,381,2095,5,3,928
M52,80,1,3311,29,1015,37,0,38,0,0,0,180,289,180,28,29,15,90,0,63,44,88,9,818,0,409,1580,412,23,22,530
M71,195,1,342,0,8584,8,0,2,0,0,0,149,399,21,62,38,0,46,2,0,139,85,43,783,11,691,335,127,124,40,109
M53,47,2,1115,0,6459,1,0,0,0,0,0,301,669,85,66,8,17,136,0,1,25,78,23,498,0,885,50,1626,195,76,342
M54,0,10,783,0,5681,4,0,0,0,0,0,521,619,15,0,5,0,99,0,0,35,95,34,372,0,866,5,2197,0,43,286
M74,34,138,130,0,6846,153,0,217,0,0,0,113,203,129,19,100,1,174,0,0,166,170,39,518,0,925,759,138,2,18,382
M55,79,0,1135,0,5545,9,0,17,0,0,2,69,110,94,273,12,36,68,1,1,5,50,10,231,0,1342,141,465,1,7,155
M56,0,0,303,0,10166,5,0,0,1,5,0,150,103,38,0,10,0,10,15,0,4,8,44,272,0,681,1,69,13,10,112
M57,63,0,91,0,10485,0,0,0,0,10,5,267,1078,46,0,3,0,46,20,0,5,26,39,321,0,419,5,994,13,44,132
M58,0,15,734,0,7000,1,0,0,6,7,11,436,438,15,0,3,0,44,27,0,229,39,45,176,0,635,0,477,73,25,461
