TaxID,Domain,Phylum,Class,Order,Family
F1,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae
F2,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae
F3,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae
F4,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae
F5,Bacteria,Tenericutes,Mollicutes,Anaeroplasmatales,Anaeroplasmataceae
F6,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae 1
F7,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillales_Incertae Sedis XI
F8,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae
F9,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae
F10,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
F11,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae
F12,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae
F13,Bacteria,Cyanobacteria/Chloroplast,Chloroplast,,Chloroplast
F14,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1
F15,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae
F16,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae
F17,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae
F18,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae
F19,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae
F20,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae
F21,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae
F22,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae
F23,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae
F24,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae
F25,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae
F26,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae
F27,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae
F28,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae
F29,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae
F30,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae 1
F31,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae
F32,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae
F33,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae
F34,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
F35,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae
F36,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae
F37,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae
F38,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae
F39,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae
F40,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae
F41,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae
F42,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Uncl_Aeromonadales
F43,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Uncl_Bacteroidales
F44,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Uncl_Burkholderiales
F45,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Uncl_Campylobacterales
F46,Bacteria,Firmicutes,Clostridia,Clostridiales,Uncl_Clostridiales
F47,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Uncl_Selenomonadales
F48,Bacteria,Uncl_Other,Uncl_Other,Uncl_Other,Uncl_Other
